CVE ID,Severity,CVSS,EPSS %,Risk Score,SSVC Priority,SSVC Notation,Title,Vendors,Published
CVE-2024-32735,CRITICAL,9.8,98.959,77,ATTEND,P/Y/T,CyberPower PowerPanel Enterprise Missing Authentication,Cyberpower,2024-05-09
CVE-2024-24576,CRITICAL,10.0,99.25,77,ATTEND,P/Y/T,Rusts's `std::process::Command` did not properly escape arguments of batch files on Windows,Rust-lang,2024-04-09
CVE-2024-29059,HIGH,7.5,99.859,77,ATTEND,A/Y/P,.NET Framework Information Disclosure Vulnerability,"Microsoft, Net",2024-03-22
CVE-2024-1651,CRITICAL,10.0,98.947,77,ATTEND,P/Y/T,Torrentpier 2.4.1 - RCE,"The, Torrentpier",2024-02-19
CVE-2024-20767,HIGH,7.4,99.904,77,ATTEND,A/Y/P,ColdFusion | Improper Access Control (CWE-284),Adobe,2024-03-18
CVE-2025-48827,CRITICAL,10.0,98.709,76,ATTEND,P/Y/T,CVE-2025-48827: vBulletin 5.0.0 through 5.7.5 and 6.0.0 through 6.0.3 allows unauthenticated users to invoke protect...,"PHP, Vbulletin",2025-05-27
CVE-2025-21298,CRITICAL,9.8,98.725,76,ATTEND,P/Y/T,Windows OLE Remote Code Execution Vulnerability,Microsoft,2025-01-14
CVE-2024-10914,HIGH,8.1,99.837,76,ATTEND,P/Y/T,D-Link DNS-320/DNS-320LW/DNS-325/DNS-340L account_mgr.cgi cgi_user_add os command injection,D-link,2024-11-06
CVE-2024-12847,CRITICAL,9.8,98.697,76,ATTEND,P/Y/T,NETGEAR DGN setup.cgi OS Command Injection,Netgear,2025-01-10
CVE-2024-7314,CRITICAL,9.8,98.541,76,ATTEND,P/Y/T,anji-plus AJ-Report Authentication Bypass,"Anji-plus, Victim",2024-08-02
CVE-2024-22319,HIGH,8.1,99.572,75,ATTEND,P/Y/T,IBM Operational Decision Manager JDNI injection,IBM,2024-02-02
CVE-2024-21287,HIGH,7.5,98.758,75,ATTEND,A/Y/P,CVE-2024-21287: Vulnerability in the Oracle Agile PLM Framework product of Oracle Supply Chain (component: Software ...,"Oracle, Plm",2024-11-18
CVE-2024-7399,HIGH,8.8,98.351,74,ATTEND,P/Y/T,CVE-2024-7399: Improper limitation of a pathname to a restricted directory vulnerability in Samsung MagicINFO 9 Ser...,Samsung Electronics,2024-08-09
CVE-2025-24016,CRITICAL,9.9,99.852,73,ATTEND,A/N/T,Remote code execution in Wazuh server,Wazuh,2025-02-10
CVE-2024-47575,CRITICAL,9.8,99.638,73,ATTEND,A/N/T,"CVE-2024-47575: A missing authentication for critical function in FortiManager 7.6.0, FortiManager 7.4.0 through 7.4...",Fortinet,2024-10-23
